label,method,project,cohort,rep,chunk_count,extracted,redundant_with,nothing_relevant,duplicate_of,no_entry,receipt_entries_not_in_manifest,provenance_reviewed,bundle_md5,md5_receipt_manifest_provenance_agree,chunk_manifest,receipt_snippets_total,receipt_snippets_verified,receipt_slots_cited,receipt_slots_unresolved_in_final,receipt,provenance
2026-09-04f_claude-opus-5-api-generic-v8_rep1,claudecode_api,CHORUS,v8,1,8,7,0,1,0,0,0,8,9b2ef4b65d67957f79362266cab0bc7a,True,data/preprocessed/chunks/CHORUS_chunks.yaml@26f7e4cd0b,79,79,66,3,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_provenance.yaml
2026-09-04f_claude-opus-5-api-generic-v8_rep1,claudecode_api,VOICE,v8,1,22,17,2,3,0,0,0,22,9193c3cbe60b62a2fc0f704a2c4d23a3,True,data/preprocessed/chunks/VOICE_chunks.yaml@f294aeba3d,243,238,212,8,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep1/VOICE_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep1/VOICE_provenance.yaml
2026-09-04f_claude-opus-5-api-generic-v8_rep2,claudecode_api,CHORUS,v8,2,8,7,0,1,0,0,0,8,9b2ef4b65d67957f79362266cab0bc7a,True,data/preprocessed/chunks/CHORUS_chunks.yaml@a2a3e157b6,90,87,81,6,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_provenance.yaml
2026-09-04f_claude-opus-5-api-generic-v8_rep2,claudecode_api,VOICE,v8,2,22,20,0,2,0,0,0,22,9193c3cbe60b62a2fc0f704a2c4d23a3,True,data/preprocessed/chunks/VOICE_chunks.yaml@a2a3e157b6,248,237,180,16,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep2/VOICE_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep2/VOICE_provenance.yaml
2026-09-04f_claude-opus-5-api-generic-v8_rep3,claudecode_api,CHORUS,v8,3,8,7,0,1,0,0,0,8,9b2ef4b65d67957f79362266cab0bc7a,True,data/preprocessed/chunks/CHORUS_chunks.yaml@a2a3e157b6,117,114,101,8,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep3/CHORUS_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep3/CHORUS_provenance.yaml
2026-09-04f_claude-opus-5-api-generic-v8_rep3,claudecode_api,VOICE,v8,3,22,19,0,3,0,0,0,22,9193c3cbe60b62a2fc0f704a2c4d23a3,True,data/preprocessed/chunks/VOICE_chunks.yaml@a2a3e157b6,231,222,190,9,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep3/VOICE_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep3/VOICE_provenance.yaml
2026-09-04g_claude-opus-5-api-generic-v8_rep1,claudecode_api,AI_READI,v8,1,28,24,2,2,0,0,0,28,d22b61a9f8443545c9ae14ee941c3e88,True,data/preprocessed/chunks/AI_READI_chunks.yaml@26f7e4cd0b,351,346,297,10,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_provenance.yaml
2026-09-04g_claude-opus-5-api-generic-v8_rep1,claudecode_api,CM4AI,v8,1,28,12,3,13,0,0,0,28,50037fc631eafda807e19f83f6579818,True,data/preprocessed/chunks/CM4AI_chunks.yaml@63d6d41c9f,174,156,165,3,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep1/CM4AI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep1/CM4AI_provenance.yaml
2026-09-04g_claude-opus-5-api-generic-v8_rep2,claudecode_api,AI_READI,v8,2,28,25,1,2,0,0,0,28,d22b61a9f8443545c9ae14ee941c3e88,True,data/preprocessed/chunks/AI_READI_chunks.yaml@a2a3e157b6,339,319,277,26,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_provenance.yaml
2026-09-04g_claude-opus-5-api-generic-v8_rep2,claudecode_api,CM4AI,v8,2,28,18,8,2,0,0,0,28,50037fc631eafda807e19f83f6579818,True,data/preprocessed/chunks/CM4AI_chunks.yaml@a2a3e157b6,186,153,171,7,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep2/CM4AI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep2/CM4AI_provenance.yaml
2026-09-04g_claude-opus-5-api-generic-v8_rep3,claudecode_api,AI_READI,v8,3,28,26,0,2,0,0,0,28,d22b61a9f8443545c9ae14ee941c3e88,True,data/preprocessed/chunks/AI_READI_chunks.yaml@a2a3e157b6,314,310,290,5,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_provenance.yaml
2026-09-04g_claude-opus-5-api-generic-v8_rep3,claudecode_api,CM4AI,v8,3,28,19,2,7,0,0,0,28,50037fc631eafda807e19f83f6579818,True,data/preprocessed/chunks/CM4AI_chunks.yaml@a2a3e157b6,184,136,157,9,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep3/CM4AI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep3/CM4AI_provenance.yaml
