label,project,cohort,rep,module,document_id,source_type,fields
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Variables,ro_crate_metadata,RO-Crate,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Collection,cohort_2_webinar,tutorial,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Collection,github_organization_overview,historical documentation,3
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Collection,nih_reporter_project,NIH project page,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Composition,cohort_2_webinar,tutorial,4
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Composition,github_organization_overview,historical documentation,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Composition,nih_reporter_project,NIH project page,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Composition,project_documentation,documentation,5
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Data Governance,cohort_2_webinar,tutorial,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Data Governance,github_organization_overview,historical documentation,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Data Governance,nih_reporter_project,NIH project page,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Dataset (top level),cohort_2_webinar,tutorial,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Dataset (top level),nih_reporter_project,NIH project page,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Dataset (top level),project_documentation,documentation,3
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Distribution,cohort_2_webinar,tutorial,5
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Ethics,nih_reporter_project,NIH project page,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Ethics,project_documentation,documentation,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Human,github_organization_overview,historical documentation,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Human,nih_reporter_project,NIH project page,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Maintenance,github_organization_overview,historical documentation,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Maintenance,project_documentation,documentation,3
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Metadata (Information),cohort_2_webinar,tutorial,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Metadata (Information),nih_reporter_project,NIH project page,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Motivation,cohort_2_webinar,tutorial,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Motivation,github_organization_overview,historical documentation,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Motivation,nih_reporter_project,NIH project page,9
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Motivation,project_documentation,documentation,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Preprocessing,github_organization_overview,historical documentation,4
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Preprocessing,nih_reporter_project,NIH project page,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CHORUS,v7,1,Uses,cohort_2_webinar,tutorial,4
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Collection,biorxiv_preprint,preprint,6
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Collection,nature_publication,publication,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Collection,october_2025_dataverse_release,data resource,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Composition,biorxiv_preprint,preprint,6
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Composition,june_2025_dataverse_release,historical data release,3
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Composition,june_2026_dataverse_release,data resource,3
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Composition,march_2025_dataverse_release,historical data release,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Composition,nature_publication,publication,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Composition,october_2025_dataverse_release,data resource,3
2026-09-01_claude-opus-5-api-generic-v7_rep1,CM4AI,v7,1,Data Governance,biorxiv_preprint,preprint,2
