# Comprehensive URI-level SSSOM - ALL D4D Attributes
# Shows current and recommended slot_uri for every attribute
# Date: 2026-03-23T23:31:21.668782
# Total attributes: 268
#
# Status breakdown:
#   free_text: 54
#   mapped: 66
#   novel_d4d: 41
#   recommended: 69
#   unmapped: 38
#
# Current slot_uri coverage: 260/268 (97.0%)
# Attributes needing slot_uri: 6/268 (2.2%)
#
d4d_slot_name	d4d_slot_uri_current	subject_source	predicate_id	d4d_slot_uri_recommended	object_id	object_label	object_source	confidence	mapping_justification	comment	mapping_status	needs_slot_uri	vocab_crosswalk	author_id	mapping_date	mapping_set_id	mapping_set_version
anonymization_method	d4d:anonymizationMethod	https://w3id.org/bridge2ai/data-sheets-schema/	semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
archival	schema:archivedAt	https://schema.org/	semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
assent_procedures	d4d:assentProcedures	https://w3id.org/bridge2ai/data-sheets-schema/	semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
bias_description	dcterms:description	http://purl.org/dc/terms/	semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
bias_type	d4d:biasType	https://w3id.org/bridge2ai/data-sheets-schema/	semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
bytes	dcat:byteSize	https://www.w3.org/ns/dcat#	skos:exactMatch	schema:contentSize	schema:contentSize	contentSize	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
categories	schema:valueReference	https://schema.org/	semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
citation	schema:citation	https://schema.org/	skos:exactMatch	schema:citation	schema:citation	citation	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
cleaning_details	dcterms:description	http://purl.org/dc/terms/	semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
cleaning_strategies	d4d:cleaningStrategies	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:cleaning_strategies	d4d:cleaning_strategies	cleaning_strategies	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
