# SSSOM URI-level Mapping (D4D slot URIs ↔ RO-Crate property URIs)
# Generated from D4D LinkML schema slot_uri definitions
# Date: 2026-03-19T23:15:33.148007
# Total mappings: 33
#
# Maps at the vocabulary/semantic level using:
# - D4D: slot_uri from LinkML schema (dcterms, dcat, schema, prov)
# - RO-Crate: JSON-LD property URIs (schema.org, EVI, RAI, D4D)
#
# d4d_module: D4D schema module containing this attribute
#
subject_id	subject_label	d4d_module	subject_source	predicate_id	object_id	object_label	object_source	mapping_justification	confidence	comment	author_id	mapping_date	mapping_set_id	mapping_set_version	d4d_slot_name	vocab_crosswalk	d4d_module
dcterms:identifier	identifier	D4D_Base	http://purl.org/dc/terms/	skos:relatedMatch	evi:md5	md5	https://w3id.org/EVI#	semapv:ManualMappingCuration	0.7	D4D slot 'hash' (slot_uri: dcterms:identifier) → RO-Crate 'evi:md5'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	hash	true	D4D_Base
dcterms:identifier	identifier	D4D_Base	http://purl.org/dc/terms/	skos:relatedMatch	evi:md5	md5	https://w3id.org/EVI#	semapv:ManualMappingCuration	0.7	D4D slot 'md5' (slot_uri: dcterms:identifier) → RO-Crate 'evi:md5'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	md5	true	D4D_Base
dcterms:identifier	identifier	D4D_Base	http://purl.org/dc/terms/	skos:relatedMatch	evi:sha256	sha256	https://w3id.org/EVI#	semapv:ManualMappingCuration	0.7	D4D slot 'sha256' (slot_uri: dcterms:identifier) → RO-Crate 'evi:sha256'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	sha256	true	D4D_Base
dcterms:conformsTo	conformsTo	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:conformsTo	conformsTo	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'conforms_to' (slot_uri: dcterms:conformsTo) → RO-Crate 'schema:conformsTo'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	conforms_to	true	Unknown
dcterms:conformsTo	conformsTo	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:conformsTo	conformsTo	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'conforms_to_schema' (slot_uri: dcterms:conformsTo) → RO-Crate 'schema:conformsTo'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	conforms_to_schema	true	Unknown
dcterms:conformsTo	conformsTo	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:conformsTo	conformsTo	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'conforms_to_class' (slot_uri: dcterms:conformsTo) → RO-Crate 'schema:conformsTo'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	conforms_to_class	true	Unknown
dcterms:license	license	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:license	license	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'license' (slot_uri: dcterms:license) → RO-Crate 'schema:license'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	license	true	Unknown
dcat:keyword	keyword	Unknown	https://www.w3.org/ns/dcat#	skos:closeMatch	schema:keywords	keywords	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'keywords' (slot_uri: dcat:keyword) → RO-Crate 'schema:keywords'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	keywords	true	Unknown
dcterms:hasVersion	hasVersion	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:version	version	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'version' (slot_uri: dcterms:hasVersion) → RO-Crate 'schema:version'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	version	true	Unknown
dcterms:creator	creator	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:creator	creator	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'created_by' (slot_uri: dcterms:creator) → RO-Crate 'schema:creator'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	created_by	true	Unknown
dcterms:created	created	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:dateCreated	dateCreated	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'created_on' (slot_uri: dcterms:created) → RO-Crate 'schema:dateCreated'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	created_on	true	Unknown
dcterms:modified	modified	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:dateModified	dateModified	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'last_updated_on' (slot_uri: dcterms:modified) → RO-Crate 'schema:dateModified'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	last_updated_on	true	Unknown
dcterms:contributor	contributor	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:contributor	contributor	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'modified_by' (slot_uri: dcterms:contributor) → RO-Crate 'schema:contributor'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	modified_by	true	Unknown
dcterms:type	type	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:creativeWorkStatus	creativeWorkStatus	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'status' (slot_uri: dcterms:type) → RO-Crate 'schema:creativeWorkStatus'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	status	true	Unknown
prov:wasDerivedFrom	wasDerivedFrom	Unknown	http://www.w3.org/ns/prov#	skos:relatedMatch	schema:isBasedOn	isBasedOn	https://schema.org/	semapv:ManualMappingCuration	0.7	D4D slot 'was_derived_from' (slot_uri: prov:wasDerivedFrom) → RO-Crate 'schema:isBasedOn'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	was_derived_from	true	Unknown
dcterms:identifier	identifier	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:identifier	identifier	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'doi' (slot_uri: dcterms:identifier) → RO-Crate 'schema:identifier'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	doi	true	Unknown
dcterms:references	references	D4D_Base	http://purl.org/dc/terms/	skos:closeMatch	schema:relatedLink	relatedLink	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'external_resources' (slot_uri: dcterms:references) → RO-Crate 'schema:relatedLink'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	external_resources	true	D4D_Base
schema:hasPart	hasPart	D4D_Base	https://schema.org/	skos:exactMatch	schema:hasPart	hasPart	https://schema.org/	semapv:ManualMappingCuration	1.0	D4D slot 'resources' (slot_uri: schema:hasPart) → RO-Crate 'schema:hasPart'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	resources	false	D4D_Base
