# URI-level SSSOM - Interface Subset Attributes
# Filtered from comprehensive URI SSSOM to include only interface attributes
# Date: 2026-03-23T23:09:11.860122
# Total interface attributes: 83
# (Out of 268 total D4D attributes)
#
# Status breakdown:
#   free_text: 4
#   mapped: 59
#   novel_d4d: 20
#
# Current slot_uri coverage: 77/83 (92.8%)
# Attributes needing slot_uri: 4/83 (4.8%)
#
d4d_slot_name	d4d_slot_uri_current	subject_source	predicate_id	d4d_slot_uri_recommended	object_id	object_label	object_source	confidence	mapping_justification	comment	mapping_status	needs_slot_uri	vocab_crosswalk	author_id	mapping_date	mapping_set_id	mapping_set_version
data_collectors	d4d:dataCollectors	https://w3id.org/bridge2ai/data-sheets-schema/	skos:relatedMatch	schema:contributor	schema:contributor	contributor	https://schema.org/	0.7	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
data_protection_impacts	d4d:dataProtectionImpacts	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:data_protection_impacts	d4d:data_protection_impacts	data_protection_impacts	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
description	schema:description	https://schema.org/	semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
dialect	schema:encodingFormat	https://schema.org/	skos:closeMatch	schema:encodingFormat	schema:encodingFormat	encodingFormat	https://schema.org/	0.9	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
discouraged_uses	d4d:discouragedUses	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	rai:prohibitedUses	rai:prohibitedUses	prohibitedUses	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
distribution_dates	d4d:distributionDates	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	schema:dateCreated	schema:dateCreated	dateCreated	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
distribution_formats	d4d:distributionFormats	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	evi:formats	evi:formats	formats	https://w3id.org/EVI#	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
doi	dcterms:identifier	http://purl.org/dc/terms/	skos:exactMatch	schema:identifier	schema:identifier	identifier	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
download_url	dcat:downloadURL	https://www.w3.org/ns/dcat#	skos:exactMatch	schema:contentUrl	schema:contentUrl	contentUrl	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
encoding	dcat:mediaType	https://www.w3.org/ns/dcat#	skos:closeMatch	evi:formats	evi:formats	formats	https://w3id.org/EVI#	0.9	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
errata	d4d:errata	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:errata	d4d:errata	errata	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
ethical_reviews	d4d:ethicalReviews	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:ethical_reviews	d4d:ethical_reviews	ethical_reviews	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
existing_uses	d4d:existingUses	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	rai:dataUseCases	rai:dataUseCases	dataUseCases	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
extension_mechanism	d4d:extensionMechanism	https://w3id.org/bridge2ai/data-sheets-schema/	skos:closeMatch	schema:license	schema:license	license	https://schema.org/	0.9	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
