Class	D4D Property	Type	Def	D4D description	FAIRSCAPE RO-Crate Property	Func	Notes	Covered by FAIRSCAPE? Yes =1; No = 0	Direct mapping? Yes =1; No = 0	Gap in FAIRSCAPE? Yes =1; No = 0	Comments
	preprocessing_strategies			Was any preprocessing of the data done (e.g., discretization or bucketing, tokenization, SIFT feature extraction)?	rai:dataPreprocessingProtocol			1	1	0	
	prohibited_uses			Explicit statement of prohibited or forbidden uses for this dataset. Stronger than DiscouragedUse - these are uses that are explicitly not permitted by license, ethics, or policy. Aligns with RO-Crate "Prohibited Uses" field.	prohibitedUses			1	1	0	
	publisher	URI		(slot exists but no description)	publisher			1	1	0	
	purposes	str		For what purpose was the dataset created?	rai:dataUseCases?			1	0	0	
	raw_data_sources			Description of raw data sources before preprocessing, cleaning, or labeling. Documents where the original data comes from and how it can be accessed.	rai:dataCollectionRawData			1	1	0	
	raw_sources			(slot exists but no description)	rai:dataCollectionRawData			1	1	0	
	regulatory_restrictions			(slot exists but no description)	confidentiality_level + Gov comittee 			1	1	0	
	resources			Sub-resources or component datasets. Used in DatasetCollection to contain Dataset objects, and in Dataset to allow nested resource structures.	We store them in dataset and software classes in sub-crates would be huge			1	0	0	
	retention_limit			(slot exists but no description)	GAP, Potentially in IRB which we point to		we use need to add to model	1	0	0	
	sampling_strategies			Does the dataset contain all possible instances, or is it a sample (not necessarily random) of instances from a larger set? If so, how representative is it?	TO-DO Justin figure out Fairscape Subset + Sampling Plan			1	0	1	
	sensitive_elements			Does the dataset contain data that might be considered sensitive (e.g., race, sexual orientation, religion, biometrics)?	rai:personalSensitiveInformation			1	1	0	
	sha256			sha256 hash of the data	sha256			1	1	0	
	status	URI		(slot exists but no description)	status			1	1	0	
	subpopulations	subpopulation_elements_present, distribution		Does the dataset identify any subpopulations (e.g., by age, gender)? If so, how are they identified and what are their distributions?	GAP/Summary Stats			1	0	0	
	subsets	is_data_split, is_sub_population		(slot exists but no description)	TO-DO Justin figure out Fairscape Subset + Sampling Plan		A subset of a dataset, likely containing multiple files of multiple potential purposes and properties. Has no real information	0	0	1	
	tasks	str		Was there a specific task in mind for the dataset's application?	rai:dataUseCases			1	1	0	
	title	str		the official title of the element	name			1	1	0	
	updates			(slot exists but no description)	rai:dataReleaseMaintenancePlan			1	1	0	
	use_repository			Is there a repository that links to any or all papers or systems that use the dataset? If so, provide a link or other access point.	We store them in software can grab urls maybe?			1	0	0	
	version	str		(slot exists but no description)	version			1	1	0	
	version_access			Will older versions of the dataset continue to be supported/hosted/maintained? If so, how? If not, how will obsolescence be communicated to dataset consumers?	version			1	0	0	
	vulnerable_populations			Information about protections for vulnerable populations in human subjects research.	atRiskPopulations			1	1	0	
	was_derived_from	str		(slot exists but no description)	generatedBy			1	1	0	
